"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Deebo Samuel Sr.","SF","WR","WR","11.09","11.12","12.07","11.07","11.09"
"[object Object]","Mike Washington Jr.","LV","RB","RB","11.10","12.06","14.08","11.03","-"
"[object Object]","Romeo Doubs","NE","WR","WR","11.10","11.09","13.05","11.12","10.09"
"[object Object]","Tyler Allgeier","ARI","RB","RB","11.11","11.12","14.07","11.10","12.07"
"[object Object]","Kaelon Black","SF","RB","RB","11.11","-","-","11.11","16.06"
"[object Object]","Kyler Murray","MIN","QB","QB","11.11","13.06","12.09","10.04","10.06"
"[object Object]","Greg Dulcich","MIA","TE","TE","11.12","-","-","11.12","16.08"
"[object Object]","Woody Marks","HOU","RB","RB","12.04","12.09","13.07","11.11","12.05"
"[object Object]","Zach Charbonnet","SEA","RB","RB","12.05","12.11","13.10","11.10","14.08"
"[object Object]","Ja'Kobi Lane","BAL","WR","WR","12.05","13.05","15.01","11.06","13.05"
"[object Object]","Tyrone Tracy Jr.","NYG","RB","RB","12.06","13.02","-","11.11","14.06"
"[object Object]","Hunter Henry","NE","TE","TE","12.07","13.05","13.06","11.08","13.11"
"[object Object]","Jonah Coleman","DEN","RB","RB","12.07","13.03","15.01","11.10","12.11"
"[object Object]","Baker Mayfield","TB","QB","QB","12.08","13.09","13.02","11.06","11.03"
"[object Object]","Jalen Coker","CAR","WR","WR","12.08","13.02","13.12","12.01","11.10"
"[object Object]","Rashid Shaheed","SEA","WR","WR","12.08","13.07","14.03","11.08","12.03"
"[object Object]","Alvin Kamara","NO","RB","RB","12.09","13.12","14.04","11.06","17.05"
"[object Object]","Khalil Shakir","BUF","WR","WR","12.10","13.09","12.06","11.11","11.12"
"[object Object]","Oronde Gadsden","LAC","TE","TE","12.10","14.02","-","11.07","17.07"
"[object Object]","Jordan Love","GB","QB","QB","12.12","14.07","13.12","11.04","10.09"
"[object Object]","Tank Bigsby","PHI","RB","RB","13.02","14.05","15.02","11.10","13.08"
"[object Object]","Brian Robinson","ATL","RB","RB","13.03","15.05","14.11","11.01","16.04"
"[object Object]","Brenton Strange","JAX","TE","TE","13.04","14.11","14.12","11.09","13.07"
"[object Object]","Keaton Mitchell","LAC","RB","RB","13.04","14.09","15.01","11.12","11.10"
"[object Object]","Jalen Nailor","LV","WR","WR","13.05","14.12","-","11.10","13.11"
"[object Object]","Isiah Pacheco","DET","RB","RB","13.05","15.04","14.03","11.06","17.07"
"[object Object]","Denzel Boston","CLE","WR","WR","13.07","15.02","14.12","11.12","12.11"
"[object Object]","Tyjae Spears","TEN","RB","RB","13.08","15.02","13.05","12.01","13.11"
"[object Object]","Keenan Allen","IND","WR","WR","13.08","15.09","14.10","11.06","13.08"
"[object Object]","Juwan Johnson","NO","TE","TE","13.09","15.12","14.04","11.06","12.09"
"[object Object]","Sam Darnold","SEA","QB","QB","13.09","16.03","14.06","11.03","12.11"
"[object Object]","Fernando Mendoza","LV","QB","QB","13.09","16.07","14.12","10.11","16.12"
"[object Object]","T.J. Hockenson","MIN","TE","TE","14.01","16.05","13.02","11.09","14.12"
"[object Object]","Braelon Allen","NYJ","RB","RB","14.02","16.07","-","11.09","16.04"
"[object Object]","Emmett Johnson","KC","RB","RB","14.03","16.10","15.02","11.07","16.05"
"[object Object]","Malik Willis","MIA","QB","QB","14.03","17.02","14.11","11.05","12.02"
