"#","Team Name","User","Points","League Rank","Record"
"8623","Bear Goggles","warrior29","131.36","5","1-1-0"
"8624","The Great White Buffalo","mueltrain54","131.36","6","1-1-0"
"8625","Yëët_Str33t","tradeback","131.36","6","1-1-0"
"8626","Nap, snap, or Tee Off!","jumpsteady56","131.36","2","2-0-0"
"8627","0bijuankenobi","0bijuankenobi","131.36","4","2-0-0"
"8628","cody47","cody47","131.36","6","1-1-0"
"8629","Sunday Seperators","r2otelo","131.36","6","1-1-0"
"8630","Lamar You Serious,Taylor","drewski_88","131.36","5","2-0-0"
"8631","wookie5150","wookie5150","131.36","5","1-1-0"
"8632","Pie-o-my","mnuzzi9","131.36","7","1-1-0"
"8633","OUTATIME","el-scorcho","131.36","4","2-0-0"
"8634","mightymowgli32","mightymowgli32","131.36","3","2-0-0"
"8635","The My Guy Avengers","thejewishbishop","131.36","5","1-1-0"
"8636","I B.Tuten","iamlos323","131.34","6","1-1-0"
"8637","No Meat on the Stribling","ffchef","131.32","5","1-1-0"
"8638","wallace33","wallace33","131.32","5","2-0-0"
"8639","sackofhamiltons","sackofhamiltons","131.32","6","1-1-0"
"8640","cks006","cks006","131.32","4","2-0-0"
"8641","joeyfootball88","joeyfootball88","131.32","5","2-0-0"
"8642","On the Lamb","gabuchan","131.32","5","2-0-0"
"8643","The Humble Crew","andrews9499","131.32","4","2-0-0"
"8644","bovadajones","bovadajones","131.30","7","1-1-0"
"8645","Gimmie a HELL YEAH!","ih8fantasyfootball69","131.30","5","2-0-0"
"8646","Dango","dtremaine1","131.30","4","2-0-0"
"8647","Kyren of the Crop","masterspach","131.30","5","1-1-0"
"8648","Pete Top Kevin Bottom","wadeflint89","131.30","6","1-1-0"
"8649","Jahmyroquai","joeshmoe92","131.30","6","1-1-0"
"8650","I Plead for the 5th","macmachine","131.30","6","1-1-0"
"8651","Olave Garden","saxmastahh","131.26","3","2-0-0"
"8652","marchdj003","marchdj003","131.26","6","1-1-0"
"8653","Warren Peace","tex0051","131.26","4","2-0-0"
"8654","jakets89","jakets89","131.26","3","2-0-0"
"8655","bvilli8","bvilli8","131.26","6","1-1-0"
"8656","Bijan Wick","smyles420","131.26","6","1-1-0"
"8657","RICK NATION","dui3","131.26","6","1-1-0"
"8658","bwheels5","bwheels5","131.26","4","2-0-0"
"8659","Motor City Kitties","ironhead61","131.26","3","2-0-0"
"8660","Springfield Isotopes","chris11023","131.26","4","2-0-0"
"8661","kmerrell","kmerrell","131.26","6","2-0-0"
"8662","Speeding to Tee Time","andrewchap","131.26","6","1-1-0"
"8663","prestonhenne","prestonhenne","131.26","6","1-1-0"
"8664","elpolloloco","elpolloloco","131.24","6","1-1-0"
"8665","jrios710","jrios710","131.24","6","2-0-0"
"8666","Likely to Win","bennyminusjets","131.24","3","2-0-0"
"8667","jul3z","jul3z","131.22","5","1-1-0"
"8668","cmartin102","cmartin102","131.22","6","1-1-0"
"8669","slimbabwe","slimbabwe","131.22","5","2-0-0"
"8670","fishsticks10","fishsticks10","131.22","3","2-0-0"
"8671","Protect Lloyd's Meat!","jhorn","131.22","3","2-0-0"
"8672","jeffrodude","jeffrodude","131.22","3","2-0-0"
"8673","nicknewman16","nicknewman16","131.22","7","1-1-0"
"8674","King Ragnar","tonymorg931","131.20","4","2-0-0"
"8675","Taylor’s Brown Burden","barkerstv","131.20","5","2-0-0"
"8676","jimmyfives","jimmyfives","131.20","4","2-0-0"
"8677","Princess McBride","mrceej","131.20","5","2-0-0"
"8678","Skatteboner","chrispat10","131.20","4","2-0-0"
"8679","ethank","ethank","131.20","3","2-0-0"
"8680","smoney7","smoney7","131.20","7","1-1-0"
"8681","greek1963","greek1963","131.20","5","1-1-0"
"8682","lukasito","lukasito","131.20","4","2-0-0"
"8683","Doctor Fumbles","stevejones2588","131.16","8","0-2-0"
"8684","gambo87","gambo87","131.16","6","1-1-0"
"8685","awhittle11","awhittle11","131.16","6","1-1-0"
"8686","NippL Twisters","napili9","131.16","4","2-0-0"
"8687","jacobmalneritch","jacobmalneritch","131.16","5","2-0-0"
"8688","Definitely""NOT""ACheifsFan","camocowboy","131.16","6","1-1-0"
"8689","Louisiana BurrChase","goomlok","131.16","3","2-0-0"
"8690","stoned420710","stoned420710","131.16","3","2-0-0"
"8691","Admin","jariskytartt","131.16","5","1-1-0"
"8692","lou8456","lou8456","131.16","5","2-0-0"
"8693","cowboysfan8194","cowboysfan8194","131.16","5","2-0-0"
"8694","blhoehler","blhoehler","131.16","4","2-0-0"
"8695","beardedatom22","beardedatom22","131.16","4","2-0-0"
"8696","mikestmikec137","mikestmikec137","131.14","4","2-0-0"
"8697","Burden In My Hand","nso46","131.14","6","1-1-0"
"8698","Goffing with your Nabers","theswiftnesss","131.14","5","2-0-0"
"8699","Bucky The Winter Soldier","jeradb52","131.14","4","2-0-0"
"8700","pstrcollector","pstrcollector","131.14","6","1-1-0"
"8701","indianajoe","indianajoe","131.12","4","2-0-0"
"8702","keithmrqs","keithmrqs","131.12","6","1-1-0"
"8703","cham","cham","131.12","7","1-1-0"
"8704","swagnello","swagnello","131.12","4","2-0-0"
"8705","thechefs99","thechefs99","131.10","4","2-0-0"
"8706","Bring the Thunder","jackst0ne","131.10","4","2-0-0"
"8707","Chaos_Dome","emadeline","131.10","6","1-1-0"
"8708","nic1010","nic1010","131.10","4","2-0-0"
"8709","terp320","terp320","131.10","8","0-2-0"
"8710","captron","captron","131.10","6","1-1-0"
"8711","Gashouse Gorrillas","joecolf","131.10","3","2-0-0"
"8712","A Team Has No Name","rames33","131.06","7","1-1-0"
"8713","Your entering palqaeda","clevin85","131.06","4","2-0-0"
"8714","McBride of Frankenstein","w1ttm4n","131.06","7","1-1-0"
"8715","danklucas","danklucas","131.06","4","2-0-0"
"8716","Ja’MaarBurrowLights","dl555","131.06","6","1-1-0"
"8717","300 Confirmed Sleepers","raincitypenny","131.06","6","1-1-0"
"8718","Slim reapers","cassano89","131.06","5","2-0-0"
"8719","papags","papags","131.06","4","2-0-0"
"8720","aceofstaff1013","aceofstaff1013","131.06","5","2-0-0"
"8721","CopenhagenPlanks","wearethechampiions","131.06","4","2-0-0"
"8722","American Njigba Warrior","ninooo92","131.06","6","1-1-0"
"8723","shelbyg19","shelbyg19","131.06","4","2-0-0"
"8724","alrubi00","alrubi00","131.06","5","1-1-0"
"8725","jroy4523","jroy4523","131.06","6","1-1-0"
"8726","Brew-Tang Clan","pharojr","131.06","5","1-1-0"
"8727","tdoor","tdoor","131.04","4","2-0-0"
"8728","stenza58","stenza58","131.04","5","1-1-0"
"8729","Hormuz Blockade","redraiderarchitect","131.04","4","2-0-0"
"8730","STAR LORD","bombardil","131.02","4","1-1-0"
"8731","Tiger Wish He Could","baz26","131.02","3","2-0-0"
"8732","nickcrock","nickcrock","131.00","9","0-2-0"
"8733","spongythesponge","spongythesponge","131.00","4","2-0-0"
"8734","ragnarok01","ragnarok01","131.00","4","2-0-0"
"8735","huntermike03","huntermike03","131.00","5","1-1-0"
"8736","Gold Rush","cme4espn","131.00","4","2-0-0"
"8737","chadlee","chadlee","131.00","5","2-0-0"
"8738","jojobridges","jojobridges","131.00","8","0-2-0"
"8739","Bobbum Man","cashmoney2277","131.00","4","2-0-0"
"8740","becher","becher","131.00","4","2-0-0"
"8741","Moose The Corgi","crimsonkilroy","131.00","4","2-0-0"
"8742","topshamrock","topshamrock","131.00","6","1-1-0"
"8743","mattdajoo","mattdajoo","131.00","6","1-1-0"
"8744","herbyherbster","herbyherbster","131.00","3","2-0-0"
"8745","WRU","tejastech9","130.96","4","2-0-0"
"8746","shaolinkc816","shaolinkc816","130.96","6","1-1-0"
"8747","Jax on Jax off","joelplumwood","130.96","3","2-0-0"
"8748","Grid kidz","michaelg77","130.96","6","1-1-0"
"8749","toxiccoastie","toxiccoastie","130.96","5","2-0-0"
"8750","Shake&Bake","jaybake1","130.96","7","1-1-0"
"8751","🥶 ICEMAN 🥶","swarly111","130.96","6","2-0-0"
"8752","gab177","gab177","130.96","2","2-0-0"
"8753","Playmakers","moharv","130.96","5","2-0-0"
"8754","samg15","samg15","130.96","7","1-1-0"
"8755","mamayhew","mamayhew","130.96","6","1-1-0"
"8756","spt1995","spt1995","130.96","4","2-0-0"
"8757","Golden Receivers","ballistica13","130.96","7","1-1-0"
"8758","norty48","norty48","130.94","2","2-0-0"
"8759","sludge138","sludge138","130.94","5","2-0-0"
"8760","bigdadluvstds","bigdadluvstds","130.92","4","2-0-0"
"8761","brizzlethegreat","brizzlethegreat","130.92","6","1-1-0"
"8762","63schoeffling","63schoeffling","130.92","4","2-0-0"
"8763","90thid","90thid","130.90","5","1-1-0"
"8764","jacksonafk","jacksonafk","130.90","5","2-0-0"
"8765","tshonts","tshonts","130.90","6","1-1-0"
"8766","zmichak15","zmichak15","130.90","6","1-1-0"
"8767","sy88","sy88","130.88","3","2-0-0"
"8768","jurd19","jurd19","130.86","7","1-1-0"
"8769","👀 Will. I. Ams","sjm23","130.86","6","1-1-0"
"8770","militia1","militia1","130.86","6","1-1-0"
"8771","BortlesBlakes","tamebabushka","130.86","5","2-0-0"
"8772","dylanjaya","dylanjaya","130.86","4","2-0-0"
"8773","Jason & The Golden Breece","paytond","130.86","5","2-0-0"
"8774","Jay Grizz Jr","roeyourboat52","130.86","4","2-0-0"
"8775","saintsgotrobbed","saintsgotrobbed","130.86","5","2-0-0"
"8776","drakes92","drakes92","130.86","4","2-0-0"
"8777","lockerbox","lockerbox","130.86","6","1-1-0"
"8778","fleaflickers","fleaflickers","130.86","6","1-1-0"
"8779","The Birdz","fabz9","130.86","3","2-0-0"
"8780","1 If ByLand 2 If Bhayshul","adamguisavage","130.86","4","2-0-0"
"8781","lkclift","lkclift","130.86","4","2-0-0"
"8782","Club Dubs","tannerjclegg","130.86","5","1-1-0"
"8783","wildeboy","wildeboy","130.86","8","0-2-0"
"8784","Man Hands","moon-men","130.84","4","2-0-0"
"8785","joewagner99","joewagner99","130.84","7","1-1-0"
"8786","My Strange Tuten Hurts","pyropastor","130.82","6","1-1-0"
"8787","badams125","badams125","130.82","6","1-1-0"
"8788","comishdeeznuts","comishdeeznuts","130.82","4","2-0-0"
"8789","It HURTS in LOVELAND","jokerslowmo","130.82","8","0-2-0"
"8790","remdoge22","remdoge22","130.82","5","1-1-0"
"8791","MonKatz","lurkazz","130.82","4","2-0-0"
"8792","rambam1234","rambam1234","130.82","6","1-1-0"
"8793","rayrey39","rayrey39","130.80","5","2-0-0"
"8794","Juwan A Piece Of Me?!","sje5791","130.80","8","0-2-0"
"8795","sillypseudo","sillypseudo","130.80","5","2-0-0"
"8796","The Laces Were In","shmilne84","130.80","6","1-1-0"
"8797","gamename21","gamename21","130.80","3","2-0-0"
"8798","pendelton","pendelton","130.80","6","1-1-0"
"8799","X-ecutioner7","jose712","130.80","5","2-0-0"
"8800","JSN Voorhees","nosmilez","130.80","3","2-0-0"
"8801","Brock Brock Bowers","faithnfootball23","130.80","6","1-1-0"
"8802","Seppuku Squad","ethirsch","130.80","6","1-1-0"
"8803","noahelijah","noahelijah","130.80","5","2-0-0"
"8804","mihalco3","mihalco3","130.78","8","0-2-0"
"8805","X Gon Gibbs It To Ya","jharkdillies","130.76","4","2-0-0"
"8806","superchargers2980","superchargers2980","130.76","6","1-1-0"
"8807","pulvinars","pulvinars","130.76","4","2-0-0"
"8808","Nuke BJ Corum","coo1runnin9s","130.76","3","2-0-0"
"8809","ttbrower98","ttbrower98","130.76","6","1-1-0"
"8810","christiankocsis","christiankocsis","130.76","6","1-1-0"
"8811","Downs Syndrome","commish920","130.76","5","2-0-0"
"8812","Mr.Loveland","eskimoquin","130.76","4","2-0-0"
"8813","fercho1977","fercho1977","130.76","6","1-1-0"
"8814","The Big Kahuna","sasquatch808","130.76","4","2-0-0"
"8815","Christian McCalfinjury","jaminthejam","130.76","4","2-0-0"
"8816","OnlyFannins","bduben23","130.76","4","2-0-0"
"8817","Back dat pass up","heaththefeath","130.76","3","2-0-0"
"8818","jpwoods44","jpwoods44","130.76","3","2-0-0"
"8819","Healthy McCalfreys","bbhumpherys88","130.76","5","2-0-0"
"8820","jeffcamel9000","jeffcamel9000","130.76","4","2-0-0"
"8821","RED STAR FC","lo33en","130.76","7","1-1-0"
"8822","s0nbrady","s0nbrady","130.76","5","1-1-0"
"8823","bryr2113","bryr2113","130.76","5","2-0-0"
"8824","scorpmanny","scorpmanny","130.76","6","1-1-0"
"8825","A Tuten Boutte","brodyd40","130.76","4","2-0-0"
"8826","Effuctively Auto Drafted","maturb","130.76","4","2-0-0"
"8827","robbig333","robbig333","130.76","5","2-0-0"
"8828","Crazy Rich Achanes","lawrenciumd","130.74","9","0-2-0"
"8829","To Infinity and Bijan","thorndj","130.74","5","2-0-0"
"8830","The Schooners","sammpy","130.74","3","2-0-0"
"8831","stingray43","stingray43","130.74","5","2-0-0"
"8832","ar15mia","ar15mia","130.72","5","2-0-0"
"8833","Got Sum Purdy Nabers","thesplithead2","130.72","5","2-0-0"
"8834","shredgross","shredgross","130.72","7","1-1-0"
"8835","rjanzen10","rjanzen10","130.72","4","2-0-0"
"8836","Mega Rhed","rhedbeard","130.72","6","1-1-0"
"8837","Puka Na-Chewa","nickfinley","130.70","4","2-0-0"
"8838","Welcome to Love(Is)land","aahmad02","130.70","3","2-0-0"
"8839","Obi Wan Ja’Kobi","chrisplusplus","130.70","4","2-0-0"
"8840","​The Man in Jahmyrror","josh81","130.70","7","1-1-0"
"8841","j3tt","j3tt","130.70","3","2-0-0"
"8842","bobbyshanka","bobbyshanka","130.70","5","2-0-0"
"8843","Señor Chompers","yarblescarble","130.70","4","2-0-0"
"8844","8wavepapi3","8wavepapi3","130.70","8","0-2-0"
"8845","bigz5433","bigz5433","130.70","8","0-2-0"
"8846","mamba0823","mamba0823","130.70","5","1-1-0"
"8847","Sleepy man diary","dhaymo17","130.66","5","1-1-0"
"8848","kbwilson","kbwilson","130.66","5","1-1-0"
"8849","hallba","hallba","130.66","9","0-2-0"
"8850","Sh!t Useless 💩","chriswithafish","130.66","3","2-0-0"
"8851","Greatest Show on Paper","lopezjj9","130.66","6","1-1-0"
"8852","Emeka-e-big-boo","tytatham","130.66","3","2-0-0"
"8853","Evil Phux","evilphux","130.66","3","2-0-0"
"8854","robtjerryjones","robtjerryjones","130.66","4","2-0-0"
"8855","The Dead Milkmen","baciborosky","130.66","4","2-0-0"
"8856","Mahomes Alone: Benched","1uis","130.66","3","2-0-0"
"8857","seabeach90","seabeach90","130.66","4","2-0-0"
"8858","bisp","bisp","130.66","4","2-0-0"
"8859","Little Kittle Laddies","abridgewater","130.66","6","1-1-0"
"8860","mendg10","mendg10","130.64","4","2-0-0"
"8861","mattkubi","mattkubi","130.64","5","2-0-0"
"8862","bunsb","bunsb","130.64","4","2-0-0"
"8863","thisisbull","thisisbull","130.64","2","2-0-0"
"8864","Guns Mahoney","jacobedw29","130.62","4","2-0-0"
"8865","steve7294","steve7294","130.62","4","2-0-0"
"8866","andydrew42","andydrew42","130.62","4","2-0-0"
"8867","bigbubbact","bigbubbact","130.62","5","1-1-0"
"8868","kdimery","kdimery","130.62","4","2-0-0"
"8869","derek7182","derek7182","130.62","6","1-1-0"
"8870","cdvv27","cdvv27","130.60","7","1-1-0"
"8871","swittmer","swittmer","130.60","3","2-0-0"
"8872","0043828","0043828","130.60","5","2-0-0"
"8873","A Touch of Downs","lukeadams1010","130.60","3","2-0-0"
"8874","tommywantwinny","tommywantwinny","130.60","6","1-1-0"
"8875","Mart","mart41","130.56","4","2-0-0"
"8876","leswan","leswan","130.56","6","1-1-0"
"8877","11 Herberts and Spices","jtburli","130.56","4","2-0-0"
"8878","pyropastor","pyropastor","130.56","7","1-1-0"
"8879","Saquon Deez Nuts","itrapik","130.56","8","0-2-0"
"8880","cmccain15","cmccain15","130.56","6","1-1-0"
"8881","Easy Drake Oven","pattzdq","130.56","6","1-1-0"
"8882","Kupla' Beeyahs","jcaillo","130.56","8","0-2-0"
"8883","jackburton4president","jackburton4president","130.56","4","2-0-0"
"8884","MyTightEndisWideOpen","danepeck","130.56","5","2-0-0"
"8885","The Williams Brothers","pborovay","130.56","5","1-1-0"
"8886","Rain City Pigeon Bitches","spencerhnelson","130.56","5","1-1-0"
"8887","Pimpin Ain’t Eazy","colelevering","130.56","4","2-0-0"
"8888","Giddy Up","qtreasure","130.54","5","2-0-0"
"8889","Mega High T","rydel439","130.54","6","1-1-0"
"8890","rcaktive","rcaktive","130.52","5","1-1-0"
"8891","fieryshaft4","fieryshaft4","130.52","4","2-0-0"
"8892","colonel_bupkis","colonel_bupkis","130.52","5","2-0-0"
"8893","hydroskier","hydroskier","130.52","6","1-1-0"
"8894","thejohnnyutahs23","thejohnnyutahs23","130.52","4","2-0-0"
"8895","To Infinity and Bijan","riggins76","130.52","4","2-0-0"
"8896","The Cereal Killers","tgal99","130.50","4","2-0-0"
"8897","jpm30","jpm30","130.50","6","1-1-0"
"8898","seahawkboom","seahawkboom","130.50","3","2-0-0"
"8899","What can Brown do for you","irishboy8","130.50","5","1-1-0"
"8900","McConkey Kong","smugyeti","130.50","3","2-0-0"
"8901","ostrick","ostrick","130.50","4","2-0-0"
"8902","swampdonkeyhf","swampdonkeyhf","130.50","5","2-0-0"
"8903","greatdanishes","greatdanishes","130.50","4","2-0-0"
"8904","The Sethasauruses","sethasaurus","130.50","4","2-0-0"
"8905","Slim Pickens","knucklenuts","130.50","7","1-1-0"
"8906","cone67","cone67","130.50","4","2-0-0"
"8907","DAKstreet Boys","fisterf15d","130.50","3","2-0-0"
"8908","The_One_Sun17","burtchett","130.50","5","2-0-0"
"8909","Pukachu","jakegrogins","130.48","7","1-1-0"
"8910","gmogge5","gmogge5","130.46","5","2-0-0"
"8911","PuppyBowlMVP","albertk22","130.46","6","1-1-0"
"8912","beefcaptialventures","beefcaptialventures","130.46","7","0-2-0"
"8913","Dude, Where's My Gibbs","t2toxicc","130.46","9","0-2-0"
"8914","The Megheads","zombyeweek","130.46","4","2-0-0"
"8915","calvinclink","calvinclink","130.46","6","1-1-0"
"8916","I Love Jena 🙄","smoke207","130.46","3","2-0-0"
"8917","itstanman","itstanman","130.46","3","2-0-0"
"8918","Chase your Flowers","rdegrow","130.46","4","2-0-0"
"8919","tsteve21","tsteve21","130.46","4","2-0-0"
"8920","hdubski","hdubski","130.46","5","2-0-0"
"8921","feinburglars","feinburglars","130.46","4","2-0-0"
"8922","Cocoon","benalvatur","130.46","4","2-0-0"
"8923","diegocuevase","diegocuevase","130.46","4","2-0-0"
"8924","RBU","wadesfather","130.46","4","2-0-0"
"8925","AndyPeesHisPants","pollywoginabog","130.46","6","1-1-0"
"8926","maximil32","maximil32","130.46","5","2-0-0"
"8927","localdeg3n","localdeg3n","130.46","5","1-1-0"
"8928","The Shire","curlyfry66","130.46","5","1-1-0"
"8929","drizdracomalfoy","drizdracomalfoy","130.46","5","2-0-0"
"8930","I Love Mitchell, Keaton","fowlertown","130.46","6","1-1-0"
"8931","zack3coomer","zack3coomer","130.46","6","1-1-0"
"8932","wish22","wish22","130.46","5","2-0-0"
"8933","electroant","electroant","130.46","8","0-2-0"
"8934","amread35","amread35","130.46","6","1-1-0"
"8935","Lamarican Gangster","bclionbrett","130.46","5","1-1-0"
"8936","pjkelly","pjkelly","130.46","2","2-0-0"
"8937","Football is Life","7hom","130.46","4","2-0-0"
"8938","tecmosuperfly","tecmosuperfly","130.44","6","1-1-0"
"8939","joebleezyeagz","joebleezyeagz","130.44","8","0-2-0"
"8940","Williams x5","itsjustbubby","130.44","3","2-0-0"
"8941","zacthemeatballer","zacthemeatballer","130.42","7","1-1-0"
"8942","bigbadstud","bigbadstud","130.42","4","2-0-0"
"8943","Lord of No Rings","mrudis77","130.42","4","2-0-0"
"8944","TLaw’s Trek of Tyranny","yukonthebear","130.42","5","2-0-0"
"8945","thedudeabides07","thedudeabides07","130.40","6","1-1-0"
"8946","cornn","cornn","130.40","5","2-0-0"
"8947","Evil Empire","cruzer127","130.40","5","2-0-0"
"8948","da_bomb","da_bomb","130.40","7","1-1-0"
"8949","sdsmoothieking","sdsmoothieking","130.40","6","1-1-0"
"8950","Ol’ Brown Eye","talbot73","130.40","2","2-0-0"
"8951","Browned Out","jmette20","130.40","6","1-1-0"
"8952","ritner","ritner","130.40","4","2-0-0"
"8953","ffguenther","ffguenther","130.40","6","1-1-0"
"8954","armenia24","armenia24","130.40","6","1-1-0"
"8955","johnfromphilly","johnfromphilly","130.40","5","2-0-0"
"8956","Corum Ipsum","eizenga71","130.36","4","2-0-0"
"8957","The Prosciutto di Parma","tkluminati","130.36","4","2-0-0"
"8958","kandum","kandum","130.36","5","2-0-0"
"8959","jmb419","jmb419","130.36","6","1-1-0"
"8960","Footclan Fetish","nfowler97","130.36","4","2-0-0"
"8961","realteal","realteal","130.36","4","2-0-0"
"8962","nolif3","nolif3","130.36","4","2-0-0"
"8963","Dibs on Gibbs","touchdownsavages","130.36","4","2-0-0"
"8964","fixonmeafrown","fixonmeafrown","130.36","4","2-0-0"
"8965","snessl94","snessl94","130.36","5","2-0-0"
"8966","yake63","yake63","130.36","4","2-0-0"
"8967","The Program","uhnonimuss","130.36","4","2-0-0"
"8968","spapastamos","spapastamos","130.36","6","1-1-0"
"8969","alloe","alloe","130.34","5","2-0-0"
"8970","tpurse59","tpurse59","130.34","5","1-1-0"
"8971","zacthomas14","zacthomas14","130.34","6","1-1-0"
"8972","cannonball1313","cannonball1313","130.32","5","2-0-0"
"8973","janderson01","janderson01","130.32","5","2-0-0"
"8974","fernande5","fernande5","130.32","4","2-0-0"
"8975","Maye Day!","anthwils009","130.32","6","1-1-0"
"8976","sportsology","sportsology","130.32","8","0-2-0"
"8977","alavery","alavery","130.30","5","2-0-0"
"8978","thoubz","thoubz","130.30","6","1-1-0"
"8979","tireddad92","tireddad92","130.30","6","1-1-0"
"8980","maestrokneer","maestrokneer","130.30","4","2-0-0"
"8981","tkoz1994","tkoz1994","130.30","7","1-1-0"
"8982","Bijan Mustard for Nabers","dlawson1","130.30","4","2-0-0"
"8983","MMM. . . Cheeseburgers","dereksmith96","130.30","5","2-0-0"
"8984","Cook N’ Ladder","ksimms12","130.30","4","2-0-0"
"8985","itmeg3","itmeg3","130.26","5","2-0-0"
"8986","Beast of Burden","philipago","130.26","5","2-0-0"
"8987","dpurtee","dpurtee","130.26","3","2-0-0"
"8988","All You Need Is Love","coop19","130.26","3","2-0-0"
"8989","The 1968 Godzilla Suit","cpotto27","130.26","5","2-0-0"
"8990","Back It Up Terry","gonnoo","130.26","3","2-0-0"
"8991","bigtex4181","bigtex4181","130.26","5","2-0-0"
"8992","Broadstreet Bullies","thisguygoblue","130.26","4","2-0-0"
"8993","Mahomies Love winning","andrewgasho","130.26","4","2-0-0"
"8994","Wendy’s™️ Carvers","zorchdagod","130.26","6","1-1-0"
"8995","rocksmichael","rocksmichael","130.26","3","2-0-0"
"8996","Team Taught Ends","bakersdozen52","130.26","6","1-1-0"
"8997","wiscodairyfarmer","wiscodairyfarmer","130.26","4","2-0-0"
"8998","starnz","starnz","130.26","4","2-0-0"
"8999","kaspar","kaspar","130.26","4","2-0-0"
"9000","Jahmyr-acle on Ice","sirpicklesiii","130.26","6","1-1-0"
"9001","seezeey","seezeey","130.26","8","0-2-0"
"9002","Herbert Your Enthusiasm","yosweet","130.26","6","1-1-0"
"9003","dabears0216","dabears0216","130.26","5","2-0-0"
"9004","London Blitz","shues","130.24","6","1-1-0"
"9005","Welcome to the Bone Zone","qq3000","130.22","6","1-1-0"
"9006","My Pitts Hurts","jpeezy69","130.22","8","0-2-0"
"9007","Likely Suspects","nicknzach","130.22","3","2-0-0"
"9008","Fowl Play","brinks12hawks","130.22","5","1-1-0"
"9009","tdemarco","tdemarco","130.22","4","2-0-0"
"9010","Johnny Walker","zsyylpmh","130.20","6","1-1-0"
"9011","My Inevitable Ruin","gooldenone","130.20","5","2-0-0"
"9012","HoosierDEV06","ungymatt","130.20","6","1-1-0"
"9013","runningallover","runningallover","130.20","4","2-0-0"
"9014","benthetech","benthetech","130.20","6","1-1-0"
"9015","Lawrence ‘26: Road To MVP","ywcrashout","130.20","5","2-0-0"
"9016","unluckyleprechaun","unluckyleprechaun","130.20","4","2-0-0"
"9017","dezdroppedit88","dezdroppedit88","130.20","5","2-0-0"
"9018","Here on a Betz","actionjaxon84","130.20","5","2-0-0"
"9019","temple36","temple36","130.20","6","1-1-0"
"9020","aaronrucker","aaronrucker","130.20","5","1-1-0"
"9021","Orange Iguanas","chickensaladyum","130.16","5","2-0-0"
"9022","Tackle Dummies tres","mrkennyk","130.16","6","2-0-0"
"9023","bodanglez","bodanglez","130.16","9","0-2-0"
"9024","cfiterre","cfiterre","130.16","6","1-1-0"
"9025","m1ke357","m1ke357","130.16","3","2-0-0"
"9026","gnic51","gnic51","130.16","4","2-0-0"
"9027","rharris333","rharris333","130.16","4","2-0-0"
"9028","wisullivan17","wisullivan17","130.16","4","2-0-0"
"9029","Bowers Fury","jaketheeesnake","130.16","5","2-0-0"
"9030","Olave Oil","cmfnr","130.16","5","1-1-0"
"9031","shinyakuma","shinyakuma","130.16","4","2-0-0"
"9032","Just Joshing You","skrouse","130.16","4","2-0-0"
"9033","Full Metal Beefstick","zachs4412","130.16","5","1-1-0"
"9034","Justin Time for Puka","maloso84","130.16","7","1-1-0"
"9035","Sarcastaballerz","nuclearcarcass","130.16","5","2-0-0"
"9036","Good Good Glazers","gagemcadams15","130.16","6","1-1-0"
"9037","footballnut1974","footballnut1974","130.14","5","2-0-0"
"9038","Yardwork","jaymaine","130.14","3","2-0-0"
"9039","jackattack1","jackattack1","130.14","6","1-1-0"
"9040","The McConkeyCaffreys","aldover","130.12","6","1-1-0"
"9041","ingle21","ingle21","130.12","4","2-0-0"
"9042","alekseis","alekseis","130.12","5","1-1-0"
"9043","Hobby Horse Cowboys","yourxboyfriend","130.10","3","2-0-0"
"9044","moofookeyguy","moofookeyguy","130.10","6","1-1-0"
"9045","Purdy Likely To Win!","jeromeort","130.10","3","2-0-0"
"9046","floridaman751","floridaman751","130.10","6","1-1-0"
"9047","jhbcole","jhbcole","130.10","6","1-1-0"
"9048","Annie’s Orphanage","samoanbananas","130.10","3","2-0-0"
"9049","Jim Bob’s Cooter","dburg47","130.10","6","1-1-0"
"9050","themunchybear","themunchybear","130.10","4","2-0-0"
"9051","Strib Club Closed :(","livemas13","130.10","6","1-1-0"
"9052","FF4BJ","thelivinlegend","130.10","6","1-1-0"
"9053","Shoot To Thrill","themisterrob","130.10","6","1-1-0"
"9054","superceltic24","superceltic24","130.06","5","1-1-0"
"9055","coreyem520","coreyem520","130.06","4","2-0-0"
"9056","yams69","yams69","130.06","3","2-0-0"
"9057","taran225","taran225","130.06","7","1-1-0"
"9058","warlock1057","warlock1057","130.06","5","2-0-0"
"9059","Herb bros +  a lotta Js","immytbrooks","130.06","3","2-0-0"
"9060","Herb your enthusiasm","nycwelder","130.06","4","2-0-0"
"9061","Mike Wants Airtime","hamtray","130.06","7","1-1-0"
"9062","zelnotpay","zelnotpay","130.06","5","2-0-0"
"9063","detroitwhat1481","detroitwhat1481","130.06","4","2-0-0"
"9064","Felonious activities","joshshwade","130.06","5","2-0-0"
"9065","smittyle","smittyle","130.06","8","0-2-0"
"9066","Just Joshin Around","itzbeigz92","130.04","6","1-1-0"
"9067","Number 6","hackjalton","130.04","4","2-0-0"
"9068","edbiwankenobi","edbiwankenobi","130.02","6","1-1-0"
"9069","Apukalypse Now","stifler1975","130.02","6","1-1-0"
"9070","MadBall","jim3thy","130.02","6","1-1-0"
"9071","mleabhart","mleabhart","130.02","3","2-0-0"
"9072","bpr1964","bpr1964","130.00","6","1-1-0"
"9073","jaggili","jaggili","130.00","4","2-0-0"
