"#","Team Name","User","Points","League Rank","Record"
"251","Team Tiger","jhdrews12","185.14","1","2-0-0"
"252","johnmangi","johnmangi","185.12","1","2-0-0"
"253","Ugluk’s Bloodline","joeldstapleton","185.10","1","2-0-0"
"254","bomboyajedapro","bomboyajedapro","184.94","1","2-0-0"
"255","Parker on my Johnson","araleo","184.90","1","2-0-0"
"256","hproch","hproch","184.86","1","2-0-0"
"257","nakam","nakam","184.70","1","2-0-0"
"258","bobanski","bobanski","184.66","1","2-0-0"
"259","chrisdamerel","chrisdamerel","184.66","1","2-0-0"
"260","lunchabull","lunchabull","184.56","1","2-0-0"
"261","patgar100","patgar100","184.52","1","2-0-0"
"262","Nailor? I Harvey knew her","jmbird308","184.50","1","2-0-0"
"263","Team Super Eff*ctive","paragonofchaos","184.46","1","2-0-0"
"264","teitloff24","teitloff24","184.46","1","2-0-0"
"265","hatersauce702","hatersauce702","184.36","1","2-0-0"
"266","Bills in the Strib Club","mrusinak","184.36","1","2-0-0"
"267","Walibabaka","liamboyle","184.30","1","2-0-0"
"268","Brocked and Loaded","manofsteele316","184.20","1","2-0-0"
"269","Deep Dish","bspunge8508","184.16","2","2-0-0"
"270","stanstan94","stanstan94","184.16","1","2-0-0"
"271","slices22","slices22","184.10","1","2-0-0"
"272","proffecy","proffecy","184.10","1","2-0-0"
"273","angrygremlins","angrygremlins","184.02","1","2-0-0"
"274","2InfintyNBijan","2infinitynbijan","184.00","1","2-0-0"
"275","Hurts So Good","chuser","183.92","1","2-0-0"
"276","djsan","djsan","183.92","1","2-0-0"
"277","Dart in my Njigba","mavandmurph","183.90","1","2-0-0"
"278","Njigba Please","cnpeek","183.86","1","2-0-0"
"279","Ween","suseagles","183.82","1","2-0-0"
"280","Law & Olave","jwalsh333","183.80","2","2-0-0"
"281","equatis989","equatis989","183.76","1","2-0-0"
"282","IGBBMN","domrod9","183.66","2","2-0-0"
"283","paddy2401","paddy2401","183.66","1","2-0-0"
"284","rjdoucet288","rjdoucet288","183.60","1","2-0-0"
"285","dylankress21","dylankress21","183.60","1","2-0-0"
"286","FAT BASTARD","flamed88lx","183.56","2","2-0-0"
"287","chenchthemensch","chenchthemensch","183.56","4","1-1-0"
"288","Grayslakers","skruse","183.56","1","2-0-0"
"289","Juwan Get Jeanty, Baby?","neilmark","183.52","1","2-0-0"
"290","mjdegran","mjdegran","183.52","2","2-0-0"
"291","Travman","travman1213","183.46","1","2-0-0"
"292","Dino Nuggies & TDs","kmacyomamma","183.36","1","2-0-0"
"293","My Ball Zach Ertz","cdarter","183.36","1","2-0-0"
"294","TaylorMade","chomptastic","183.36","1","2-0-0"
"295","Colt’s Of Personality","koakahjd","183.30","1","2-0-0"
"296","tonibones23","tonibones23","183.26","1","2-0-0"
